Algoritmo,Tamanho_N,Arquivo,TempoMedio_ns,DesvioPadrao_ns
quickfind,10000,adv_10000.txt,49576272.40,4091773.59
quickfind,100000,adv_100000.txt,4896161410.80,153772336.48
quickfind,50000,adv_50000.txt,1220879068.80,27810951.65
quickfind,625,medium.txt,1340890.50,2221819.35
quickfind,10,tiny.txt,22905.00,16944.60
quickunion,10000,adv_10000.txt,83636843.40,1609945.77
quickunion,100000,adv_100000.txt,8149614603.10,16678539.41
quickunion,50000,adv_50000.txt,2071930724.90,64589757.57
quickunion,625,medium.txt,462198.00,311200.79
quickunion,10,tiny.txt,28352.70,24228.21
quickunionponderado,10000,adv_10000.txt,1222746.70,760663.63
quickunionponderado,100000,adv_100000.txt,2726932.80,3180624.26
quickunionponderado,50000,adv_50000.txt,3052370.20,1796057.22
quickunionponderado,500000,adv_500000.txt,13187810.50,4140825.37
quickunionponderado,625,medium.txt,454691.50,96349.62
quickunionponderado,10,tiny.txt,15399.30,14056.12
